0.96245,-0.27145,-0.003579
0.92985,-0.36791,-0.003119
0.92563,-0.36553,0.097914
0.95823,-0.26922,0.0965
0.88838,-0.45911,-0.0030597
0.88421,-0.45654,0.098722
0.95721,-0.26953,-0.10537
0.92479,-0.36559,-0.10541
0.8833,-0.45688,-0.10509
0.83266,-0.54378,-0.10475
0.83783,-0.54592,-0.0030708
0.8338,-0.54311,0.098985
0.82096,-0.53525,0.19885
0.87164,-0.44834,0.19809
0.91314,-0.35753,0.19582
0.94523,-0.26327,0.19298
0.96683,-0.16633,0.19386
0.98074,-0.17,0.096173
0.98513,-0.17173,-0.0046771
0.97964,-0.1705,-0.10601
0.96434,-0.16681,-0.20549
0.94228,-0.26422,-0.20564
0.9103,-0.35944,-0.20532
0.86913,-0.45015,-0.2049
0.8188,-0.53661,-0.20399
0.76033,-0.6172,-0.20239
0.77437,-0.62416,-0.10383
0.7798,-0.62603,-0.0027846
0.77622,-0.62281,0.097959
0.76324,-0.61531,0.19712
0.74239,-0.60158,0.29489
0.80074,-0.52024,0.29692
0.85149,-0.43335,0.29524
0.89274,-0.34433,0.29062
0.92415,-0.25446,0.28494
0.94396,-0.16119,0.28801
0.95486,-0.064405,0.28998
0.9788,-0.067446,0.1934
0.99307,-0.069793,0.094533
0.99744,-0.071251,-0.0062502
0.99168,-0.071012,-0.10738
0.97615,-0.068715,-0.20594
0.95112,-0.063456,-0.30224
0.93954,-0.15943,-0.30307
0.918,-0.25565,-0.30319
0.88666,-0.34945,-0.30286
0.84603,-0.43926,-0.30214
0.7962,-0.52488,-0.30093
0.73829,-0.60477,-0.29863
0.67221,-0.67923,-0.29459
0.69434,-0.69165,-0.19877
0.70848,-0.69841,-0.10139
0.71486,-0.69926,-0.0024929
0.71202,-0.69557,0.095974
0.69873,-0.68884,0.19307
0.67688,-0.67693,0.28913
0.6482,-0.65828,0.38276
0.71501,-0.58048,0.38961
0.77384,-0.49778,0.39165
0.8245,-0.4109,0.38906
0.86577,-0.3248,0.38071
0.89731,-0.24431,0.36763
0.91237,-0.15818,0.37757
0.92178,-0.064233,0.38235
0.92343,0.034917,0.38217
0.95689,0.034756,0.28837
0.98119,0.033312,0.19017
0.99544,0.031223,0.090151
0.99952,0.029522,-0.0094915
0.9936,0.02878,-0.10918
0.97803,0.029,-0.20642
0.95315,0.0322,-0.30079
0.91959,0.041112,-0.39072
0.91731,-0.053946,-0.39451
0.90601,-0.14899,-0.39616
0.885,-0.2437,-0.39672
0.85442,-0.33622,-0.39614
0.81474,-0.42453,-0.39493
0.76574,-0.50908,-0.39304
0.70832,-0.58803,-0.39053
0.64315,-0.66116,-0.38631
0.57117,-0.72793,-0.37931
